date,year,month,day,weekday,hour,is_weekend
2023-01-01,2023,1,1,6,0,True
2023-01-01,2023,1,1,6,1,True
2023-01-01,2023,1,1,6,2,True
2023-01-01,2023,1,1,6,3,True
2023-01-01,2023,1,1,6,4,True
2023-01-01,2023,1,1,6,5,True
2023-01-01,2023,1,1,6,6,True
2023-01-01,2023,1,1,6,7,True
2023-01-01,2023,1,1,6,8,True
2023-01-01,2023,1,1,6,9,True
2023-01-01,2023,1,1,6,10,True
2023-01-01,2023,1,1,6,11,True
2023-01-01,2023,1,1,6,12,True
2023-01-01,2023,1,1,6,13,True
2023-01-01,2023,1,1,6,14,True
2023-01-01,2023,1,1,6,15,True
2023-01-01,2023,1,1,6,16,True
2023-01-01,2023,1,1,6,17,True
2023-01-01,2023,1,1,6,18,True
2023-01-01,2023,1,1,6,19,True
2023-01-01,2023,1,1,6,20,True
2023-01-01,2023,1,1,6,21,True
2023-01-01,2023,1,1,6,22,True
2023-01-01,2023,1,1,6,23,True
2023-01-02,2023,1,2,0,0,False
2023-01-02,2023,1,2,0,1,False
2023-01-02,2023,1,2,0,2,False
2023-01-02,2023,1,2,0,3,False
2023-01-02,2023,1,2,0,4,False
2023-01-02,2023,1,2,0,5,False
2023-01-02,2023,1,2,0,6,False
2023-01-02,2023,1,2,0,7,False
2023-01-02,2023,1,2,0,8,False
2023-01-02,2023,1,2,0,9,False
2023-01-02,2023,1,2,0,10,False
2023-01-02,2023,1,2,0,11,False
2023-01-02,2023,1,2,0,12,False
2023-01-02,2023,1,2,0,13,False
2023-01-02,2023,1,2,0,14,False
2023-01-02,2023,1,2,0,15,False
2023-01-02,2023,1,2,0,16,False
2023-01-02,2023,1,2,0,17,False
2023-01-02,2023,1,2,0,18,False
2023-01-02,2023,1,2,0,19,False
2023-01-02,2023,1,2,0,20,False
2023-01-02,2023,1,2,0,21,False
2023-01-02,2023,1,2,0,22,False
2023-01-02,2023,1,2,0,23,False
2023-01-03,2023,1,3,1,0,False
2023-01-03,2023,1,3,1,1,False
2023-01-03,2023,1,3,1,2,False
2023-01-03,2023,1,3,1,3,False
2023-01-03,2023,1,3,1,4,False
2023-01-03,2023,1,3,1,5,False
2023-01-03,2023,1,3,1,6,False
2023-01-03,2023,1,3,1,7,False
2023-01-03,2023,1,3,1,8,False
2023-01-03,2023,1,3,1,9,False
2023-01-03,2023,1,3,1,10,False
2023-01-03,2023,1,3,1,11,False
2023-01-03,2023,1,3,1,12,False
2023-01-03,2023,1,3,1,13,False
2023-01-03,2023,1,3,1,14,False
2023-01-03,2023,1,3,1,15,False
2023-01-03,2023,1,3,1,16,False
2023-01-03,2023,1,3,1,17,False
2023-01-03,2023,1,3,1,18,False
2023-01-03,2023,1,3,1,19,False
2023-01-03,2023,1,3,1,20,False
2023-01-03,2023,1,3,1,21,False
2023-01-03,2023,1,3,1,22,False
2023-01-03,2023,1,3,1,23,False
2023-01-04,2023,1,4,2,0,False
2023-01-04,2023,1,4,2,1,False
2023-01-04,2023,1,4,2,2,False
2023-01-04,2023,1,4,2,3,False
2023-01-04,2023,1,4,2,4,False
2023-01-04,2023,1,4,2,5,False
2023-01-04,2023,1,4,2,6,False
2023-01-04,2023,1,4,2,7,False
2023-01-04,2023,1,4,2,8,False
2023-01-04,2023,1,4,2,9,False
2023-01-04,2023,1,4,2,10,False
2023-01-04,2023,1,4,2,11,False
2023-01-04,2023,1,4,2,12,False
2023-01-04,2023,1,4,2,13,False
2023-01-04,2023,1,4,2,14,False
2023-01-04,2023,1,4,2,15,False
2023-01-04,2023,1,4,2,16,False
2023-01-04,2023,1,4,2,17,False
2023-01-04,2023,1,4,2,18,False
2023-01-04,2023,1,4,2,19,False
2023-01-04,2023,1,4,2,20,False
