datetime,region,demand_mwh,solar_gen_mwh,wind_gen_mwh,scenario
2023-01-01 00:00:00,Bavaria,431,146,196,Base
2023-01-01 01:00:00,Bavaria,240,157,137,Base
2023-01-01 02:00:00,Bavaria,51,44,52,Base
2023-01-01 03:00:00,Bavaria,311,114,104,Base
2023-01-01 04:00:00,Bavaria,62,147,88,Base
2023-01-01 05:00:00,Bavaria,287,142,79,HP_Boost
2023-01-01 06:00:00,Bavaria,106,89,93,Base
2023-01-01 07:00:00,Bavaria,393,22,299,HP_Boost
2023-01-01 08:00:00,Bavaria,90,199,225,HP_Boost
2023-01-01 09:00:00,Bavaria,93,129,297,HP_Boost
2023-01-01 10:00:00,Bavaria,416,105,293,HP_Boost
2023-01-01 11:00:00,Bavaria,111,130,127,HP_Boost
2023-01-01 12:00:00,Bavaria,483,116,141,Base
2023-01-01 13:00:00,Bavaria,71,85,191,Base
2023-01-01 14:00:00,Bavaria,453,56,264,HP_Boost
2023-01-01 15:00:00,Bavaria,493,65,235,Base
2023-01-01 16:00:00,Bavaria,127,49,85,Base
2023-01-01 17:00:00,Bavaria,198,54,256,Base
2023-01-01 18:00:00,Bavaria,250,99,233,HP_Boost
2023-01-01 19:00:00,Bavaria,343,51,100,HP_Boost
2023-01-01 20:00:00,Bavaria,263,69,166,Base
2023-01-01 21:00:00,Bavaria,159,177,79,HP_Boost
2023-01-01 22:00:00,Bavaria,386,130,209,Base
2023-01-01 23:00:00,Bavaria,283,47,226,Base
2023-01-02 00:00:00,Bavaria,212,99,196,Base
2023-01-02 01:00:00,Bavaria,488,170,127,HP_Boost
2023-01-02 02:00:00,Bavaria,314,133,11,HP_Boost
2023-01-02 03:00:00,Bavaria,389,189,261,Base
2023-01-02 04:00:00,Bavaria,470,119,64,Base
2023-01-02 05:00:00,Bavaria,194,13,276,HP_Boost
2023-01-02 06:00:00,Bavaria,326,167,22,HP_Boost
2023-01-02 07:00:00,Bavaria,327,132,17,Base
2023-01-02 08:00:00,Bavaria,403,7,15,Base
2023-01-02 09:00:00,Bavaria,119,150,150,HP_Boost
2023-01-02 10:00:00,Bavaria,266,185,14,HP_Boost
2023-01-02 11:00:00,Bavaria,456,176,202,Base
2023-01-02 12:00:00,Bavaria,102,34,258,Base
2023-01-02 13:00:00,Bavaria,255,93,112,HP_Boost
2023-01-02 14:00:00,Bavaria,376,119,203,HP_Boost
2023-01-02 15:00:00,Bavaria,198,14,238,HP_Boost
2023-01-02 16:00:00,Bavaria,73,136,185,HP_Boost
2023-01-02 17:00:00,Bavaria,70,168,114,Base
2023-01-02 18:00:00,Bavaria,159,109,274,HP_Boost
2023-01-02 19:00:00,Bavaria,357,4,223,HP_Boost
2023-01-02 20:00:00,Bavaria,95,87,8,Base
2023-01-02 21:00:00,Bavaria,308,165,103,Base
2023-01-02 22:00:00,Bavaria,105,106,2,HP_Boost
2023-01-02 23:00:00,Bavaria,279,15,143,Base
2023-01-03 00:00:00,Bavaria,98,33,38,Base
2023-01-03 01:00:00,Bavaria,269,90,35,HP_Boost
2023-01-03 02:00:00,Bavaria,221,44,90,HP_Boost
2023-01-03 03:00:00,Bavaria,348,125,50,Base
2023-01-03 04:00:00,Bavaria,384,1,225,HP_Boost
2023-01-03 05:00:00,Bavaria,58,195,158,HP_Boost
2023-01-03 06:00:00,Bavaria,275,17,174,HP_Boost
2023-01-03 07:00:00,Bavaria,149,156,197,Base
2023-01-03 08:00:00,Bavaria,187,136,298,HP_Boost
2023-01-03 09:00:00,Bavaria,71,24,203,Base
2023-01-03 10:00:00,Bavaria,413,154,4,HP_Boost
2023-01-03 11:00:00,Bavaria,387,32,104,HP_Boost
2023-01-03 12:00:00,Bavaria,194,46,296,Base
2023-01-03 13:00:00,Bavaria,262,157,102,Base
2023-01-03 14:00:00,Bavaria,359,87,150,Base
2023-01-03 15:00:00,Bavaria,143,0,60,HP_Boost
2023-01-03 16:00:00,Bavaria,439,64,138,Base
2023-01-03 17:00:00,Bavaria,57,5,274,Base
2023-01-03 18:00:00,Bavaria,445,47,287,Base
2023-01-03 19:00:00,Bavaria,481,101,170,HP_Boost
2023-01-03 20:00:00,Bavaria,208,106,227,Base
2023-01-03 21:00:00,Bavaria,70,97,73,Base
2023-01-03 22:00:00,Bavaria,81,9,30,HP_Boost
2023-01-03 23:00:00,Bavaria,113,162,250,HP_Boost
2023-01-04 00:00:00,Bavaria,414,11,160,Base
2023-01-04 01:00:00,Bavaria,56,125,63,HP_Boost
2023-01-04 02:00:00,Bavaria,469,4,215,HP_Boost
2023-01-04 03:00:00,Bavaria,171,93,149,HP_Boost
2023-01-04 04:00:00,Bavaria,227,22,158,HP_Boost
2023-01-04 05:00:00,Bavaria,347,125,157,Base
2023-01-04 06:00:00,Bavaria,345,23,118,HP_Boost
2023-01-04 07:00:00,Bavaria,304,102,7,HP_Boost
2023-01-04 08:00:00,Bavaria,482,149,226,Base
2023-01-04 09:00:00,Bavaria,459,45,257,Base
2023-01-04 10:00:00,Bavaria,473,81,183,HP_Boost
2023-01-04 11:00:00,Bavaria,157,171,242,Base
2023-01-04 12:00:00,Bavaria,436,153,240,Base
2023-01-04 13:00:00,Bavaria,87,97,234,HP_Boost
2023-01-04 14:00:00,Bavaria,212,146,156,Base
2023-01-04 15:00:00,Bavaria,117,185,149,HP_Boost
2023-01-04 16:00:00,Bavaria,496,25,177,Base
2023-01-04 17:00:00,Bavaria,60,66,49,HP_Boost
2023-01-04 18:00:00,Bavaria,374,74,121,HP_Boost
2023-01-04 19:00:00,Bavaria,177,127,11,Base
2023-01-04 20:00:00,Bavaria,364,117,245,HP_Boost
2023-01-04 21:00:00,Bavaria,128,53,180,HP_Boost
2023-01-04 22:00:00,Bavaria,163,141,249,HP_Boost
2023-01-04 23:00:00,Bavaria,348,42,83,Base
2023-01-05 00:00:00,Bavaria,151,8,49,Base
2023-01-05 01:00:00,Bavaria,441,197,160,HP_Boost
2023-01-05 02:00:00,Bavaria,76,63,187,HP_Boost
2023-01-05 03:00:00,Bavaria,263,150,105,Base
2023-01-05 04:00:00,Bavaria,441,188,26,Base
2023-01-05 05:00:00,Bavaria,91,122,147,HP_Boost
2023-01-05 06:00:00,Bavaria,280,137,169,HP_Boost
2023-01-05 07:00:00,Bavaria,413,128,135,HP_Boost
2023-01-05 08:00:00,Bavaria,458,133,176,HP_Boost
2023-01-05 09:00:00,Bavaria,242,169,225,HP_Boost
2023-01-05 10:00:00,Bavaria,322,134,260,HP_Boost
2023-01-05 11:00:00,Bavaria,382,68,193,Base
2023-01-05 12:00:00,Bavaria,470,44,184,HP_Boost
2023-01-05 13:00:00,Bavaria,253,23,196,Base
2023-01-05 14:00:00,Bavaria,176,32,4,Base
2023-01-05 15:00:00,Bavaria,98,172,30,Base
2023-01-05 16:00:00,Bavaria,493,15,113,HP_Boost
2023-01-05 17:00:00,Bavaria,247,108,91,HP_Boost
2023-01-05 18:00:00,Bavaria,169,87,55,Base
2023-01-05 19:00:00,Bavaria,254,68,16,Base
2023-01-05 20:00:00,Bavaria,488,96,54,Base
2023-01-05 21:00:00,Bavaria,456,49,1,Base
2023-01-05 22:00:00,Bavaria,447,38,111,Base
2023-01-05 23:00:00,Bavaria,93,91,139,Base
2023-01-06 00:00:00,Bavaria,375,195,118,HP_Boost
2023-01-06 01:00:00,Bavaria,265,117,237,Base
2023-01-06 02:00:00,Bavaria,216,189,146,HP_Boost
2023-01-06 03:00:00,Bavaria,447,92,179,Base
2023-01-06 04:00:00,Bavaria,494,47,115,Base
2023-01-06 05:00:00,Bavaria,251,101,227,Base
2023-01-06 06:00:00,Bavaria,331,0,118,Base
2023-01-06 07:00:00,Bavaria,135,101,16,Base
2023-01-06 08:00:00,Bavaria,129,186,25,HP_Boost
2023-01-06 09:00:00,Bavaria,254,180,248,Base
2023-01-06 10:00:00,Bavaria,276,66,146,Base
2023-01-06 11:00:00,Bavaria,234,0,67,Base
2023-01-06 12:00:00,Bavaria,194,92,37,Base
2023-01-06 13:00:00,Bavaria,83,1,253,HP_Boost
2023-01-06 14:00:00,Bavaria,404,144,251,HP_Boost
2023-01-06 15:00:00,Bavaria,188,54,299,Base
2023-01-06 16:00:00,Bavaria,240,6,209,HP_Boost
2023-01-06 17:00:00,Bavaria,424,110,210,HP_Boost
2023-01-06 18:00:00,Bavaria,283,57,102,HP_Boost
2023-01-06 19:00:00,Bavaria,458,80,132,Base
2023-01-06 20:00:00,Bavaria,395,113,167,HP_Boost
2023-01-06 21:00:00,Bavaria,132,67,8,Base
2023-01-06 22:00:00,Bavaria,88,16,126,HP_Boost
2023-01-06 23:00:00,Bavaria,112,104,65,Base
2023-01-07 00:00:00,Bavaria,102,99,91,Base
2023-01-07 01:00:00,Bavaria,395,34,289,HP_Boost
2023-01-07 02:00:00,Bavaria,227,0,29,Base
2023-01-07 03:00:00,Bavaria,225,127,182,HP_Boost
2023-01-07 04:00:00,Bavaria,275,99,101,Base
2023-01-07 05:00:00,Bavaria,369,30,292,Base
2023-01-07 06:00:00,Bavaria,177,118,278,HP_Boost
2023-01-07 07:00:00,Bavaria,266,119,216,Base
2023-01-07 08:00:00,Bavaria,223,45,126,Base
2023-01-07 09:00:00,Bavaria,243,199,163,HP_Boost
2023-01-07 10:00:00,Bavaria,138,197,279,HP_Boost
2023-01-07 11:00:00,Bavaria,209,164,251,HP_Boost
